"filename", "language", "Python", "XML", "JSON", "comment", "blank", "total"
"j:\PythonProg\Pygame\GrotesqueEngine\.idea\GrotesqueEngine.iml", "XML", 0, -12, 0, 0, 0, -12
"j:\PythonProg\Pygame\GrotesqueEngine\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, -6, 0, 0, 0, -6
"j:\PythonProg\Pygame\GrotesqueEngine\.idea\misc.xml", "XML", 0, -4, 0, 0, 0, -4
"j:\PythonProg\Pygame\GrotesqueEngine\.idea\modules.xml", "XML", 0, -8, 0, 0, 0, -8
"j:\PythonProg\Pygame\GrotesqueEngine\AI\FLoodFIllTest.py", "Python", -28, 0, 0, -12, -4, -44
"j:\PythonProg\Pygame\GrotesqueEngine\AI\State.py", "Python", -9, 0, 0, 0, -3, -12
"j:\PythonProg\Pygame\GrotesqueEngine\AI\States_machine.py", "Python", -18, 0, 0, 0, -5, -23
"j:\PythonProg\Pygame\GrotesqueEngine\AI\fsm_learn.py", "Python", -48, 0, 0, 0, -17, -65
"j:\PythonProg\Pygame\GrotesqueEngine\Animation\Animation.py", "Python", -92, 0, 0, -1, -31, -124
"j:\PythonProg\Pygame\GrotesqueEngine\Animation\Animation_json.py", "Python", -56, 0, 0, -4, -11, -71
"j:\PythonProg\Pygame\GrotesqueEngine\GrotesqueController.py", "Python", -1, 0, 0, 0, 0, -1
"j:\PythonProg\Pygame\GrotesqueEngine\Particles\Particles_circle.py", "Python", -49, 0, 0, -1, -19, -69
"j:\PythonProg\Pygame\GrotesqueEngine\Particles\Particles_trail.py", "Python", -83, 0, 0, -7, -26, -116
"j:\PythonProg\Pygame\GrotesqueEngine\RPJ\Character\BaseCharacter.py", "Python", -61, 0, 0, -3, -21, -85
"j:\PythonProg\Pygame\GrotesqueEngine\RPJ\Character\Player.py", "Python", -26, 0, 0, -1, -8, -35
"j:\PythonProg\Pygame\GrotesqueEngine\RPJ\Dialogue\DialiogueTest.py", "Python", -34, 0, 0, 0, -5, -39
"j:\PythonProg\Pygame\GrotesqueEngine\RPJ\Dialogue\Dialogue.py", "Python", -83, 0, 0, -21, -25, -129
"j:\PythonProg\Pygame\GrotesqueEngine\RPJ\Dialogue\Inventory.py", "Python", -7, 0, 0, 0, -2, -9
"j:\PythonProg\Pygame\GrotesqueEngine\RPJ\Grid.py", "Python", -8, 0, 0, -1, -4, -13
"j:\PythonProg\Pygame\GrotesqueEngine\houseCalculator.py", "Python", -9, 0, 0, 0, -1, -10
"j:\PythonProg\Pygame\GrotesqueEngine\test.json", "JSON", 0, 0, -87, 0, 0, -87
"j:\PythonProg\Pygame\GrotesqueEngine\test_animaton.json", "JSON", 0, 0, -181, 0, 0, -181
"Total", "-", -612, -30, -268, -51, -182, -1143